D_AE2,R_AE2,ae2_expression_for_loss,ae2_reuse_scope,ae2_source_path,ae2_source_sha256,calcium_uM,candidate_id,condition,exclusion_reason,fixed_wt_feasible,genotype_numerical_status,new_genotype_simulation,paired_numerical_gate_pass,root_id,routing_family,status,target_share,wt_source_path,wt_source_sha256,wt_status,wt_total_0_600_pL
-0.0004173674815157735,1.0004173674815158,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,01cd368c42eda486e95cf9ce74c6c84e5d7c303090305a30706874f6972a2b8a,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline,inherited_baseline,,True,COMPLETE,False,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,BASELINE_HASH_VALID_REUSE,,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00_ca0.25_WT_production_radau.json,dfa5c9aa9eb9026043f447a766c672d457d28aa1e8514cda0bc03d52537fa661,FIXED_WT_FEASIBLE,1.0401042410522996
-0.0004381142729947829,1.0004381142729948,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,01cd368c42eda486e95cf9ce74c6c84e5d7c303090305a30706874f6972a2b8a,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline,inherited_baseline,,True,COMPLETE,False,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,BASELINE_HASH_VALID_REUSE,,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00_ca0.50_WT_production_radau.json,192072ef63d3361104c16209704dbb775998b96e432e2f2d2a1478dfadd8802a,FIXED_WT_FEASIBLE,1.0790057552771866
,,,,,,0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10,share_0.10,BOUND_INCOMPATIBILITY; NOT_RANK_DEFICIENCY; NOT_NUMERICAL_FAILURE,False,NOT_ELIGIBLE,False,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_FIXED_WT_INFEASIBLE,0.1,,,INFEASIBLE_NEGATIVE_REQUIRED_K_FLUX,
,,,,,,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10,share_0.10,BOUND_INCOMPATIBILITY; NOT_RANK_DEFICIENCY; NOT_NUMERICAL_FAILURE,False,NOT_ELIGIBLE,False,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_FIXED_WT_INFEASIBLE,0.1,,,INFEASIBLE_NEGATIVE_REQUIRED_K_FLUX,
,,,,,,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10,share_0.10,BOUND_INCOMPATIBILITY; NOT_RANK_DEFICIENCY; NOT_NUMERICAL_FAILURE,False,NOT_ELIGIBLE,False,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_FIXED_WT_INFEASIBLE,0.1,,,INFEASIBLE_NEGATIVE_REQUIRED_K_FLUX,
,,,,,,0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30,share_0.30,BOUND_INCOMPATIBILITY; NOT_RANK_DEFICIENCY; NOT_NUMERICAL_FAILURE,False,NOT_ELIGIBLE,False,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_FIXED_WT_INFEASIBLE,0.3,,,INFEASIBLE_NEGATIVE_REQUIRED_K_FLUX,
,,,,,,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30,share_0.30,BOUND_INCOMPATIBILITY; NOT_RANK_DEFICIENCY; NOT_NUMERICAL_FAILURE,False,NOT_ELIGIBLE,False,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_FIXED_WT_INFEASIBLE,0.3,,,INFEASIBLE_NEGATIVE_REQUIRED_K_FLUX,
,,,,,,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30,share_0.30,BOUND_INCOMPATIBILITY; NOT_RANK_DEFICIENCY; NOT_NUMERICAL_FAILURE,False,NOT_ELIGIBLE,False,,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_FIXED_WT_INFEASIBLE,0.3,,,INFEASIBLE_NEGATIVE_REQUIRED_K_FLUX,
-0.0012546122826018191,1.0012546122826018,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,01cd368c42eda486e95cf9ce74c6c84e5d7c303090305a30706874f6972a2b8a,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,inherited_baseline,,True,COMPLETE,False,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,BASELINE_HASH_VALID_REUSE,,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00_ca0.10_WT_production_radau.json,d9ef71633c1fb1bfcbea3133679305ede63048eca679cce4070674d01c2b8b45,FIXED_WT_FEASIBLE,0.7380557860508516
-0.0014364724001827422,1.0014364724001827,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,01cd368c42eda486e95cf9ce74c6c84e5d7c303090305a30706874f6972a2b8a,0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,inherited_baseline,,True,COMPLETE,False,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,BASELINE_HASH_VALID_REUSE,,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00_ca0.25_WT_production_radau.json,fc8e5d6ec7a311b3a3bedf0466239635187f8ee876c0b1c943ae258976fe94c1,FIXED_WT_FEASIBLE,0.8393208597961263
