D_AE2,R_AE2,ae2_expression_for_loss,ae2_reuse_scope,ae2_source_path,calcium_uM,candidate_id,condition,exclusion_reason,genotype_numerical_status,new_genotype_simulation,paired_numerical_gate_pass,root_id,routing_family,status,target_share,wt_admissible,wt_status,wt_total_0_600_pL
,,,,,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10,share_0.10,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.1,False,NOT_RUN_REST_REJECTED,
,,,,,0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30,share_0.30,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.3,False,NOT_RUN_REST_REJECTED,
,,,,,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30,share_0.30,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.3,False,NOT_RUN_REST_REJECTED,
,,,,,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30,share_0.30,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,NOT_EVALUATED_WT_INADMISSIBLE,0.3,False,NOT_RUN_REST_REJECTED,
-0.0012546122826018191,1.0012546122826018,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,inherited_baseline,,COMPLETE,False,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,BASELINE_HASH_VALID_REUSE,,True,WT_ADMISSIBLE,0.7380557860508516
-0.0014364724001827422,1.0014364724001827,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,inherited_baseline,,COMPLETE,False,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,BASELINE_HASH_VALID_REUSE,,True,WT_ADMISSIBLE,0.8393208597961263
-0.00148881518450672,1.0014888151845067,0.0,Frozen validated matched ratio; no new AE2 trajectory,results/14_scale_free_genotype_holdout/ae2_null_blind_predictions.csv,0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,inherited_baseline,,COMPLETE,False,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,BASELINE_HASH_VALID_REUSE,,True,WT_ADMISSIBLE,0.8677959612678899
,,,,,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.10,share_0.10,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_WT_INADMISSIBLE,0.1,False,NOT_RUN_REST_REJECTED,
,,,,,0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.10,share_0.10,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_WT_INADMISSIBLE,0.1,False,NOT_RUN_REST_REJECTED,
,,,,,0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.10,share_0.10,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_WT_INADMISSIBLE,0.1,False,NOT_RUN_REST_REJECTED,
,,,,,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__share_0.30,share_0.30,NUMERICAL_CONTINUATION_FAILURE,NOT_LICENSED,False,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,NOT_EVALUATED_WT_INADMISSIBLE,0.3,False,NOT_RUN_REST_REJECTED,
